level,key,metric,contrast,estimate,se,ci_low,ci_high,n_units,p,q_fdr
parcel,68,auc,U-T,0.42812801320985394,0.30684764554876426,-0.175824896899494,1.0538991550359242,30,0.16294160779661704,0.21463219468270084
parcel,68,auc,S-U,-1.6605592091938735,0.24318686221961308,-2.1381817635406817,-1.1950453955133549,30,8.591109960784836e-12,3.4250272268909645e-11
parcel,69,auc,S-T,-1.963888961244816,0.27813875706226104,-2.524666395558373,-1.4409335377696493,30,1.6551748730374305e-12,7.068362447134934e-12
parcel,69,auc,U-T,-0.07316040803101731,0.28100476982373207,-0.6085597724474064,0.44984969658429874,30,0.7945915672176131,0.8386190683035495
parcel,69,auc,S-U,-1.8907285532137987,0.19284542796639048,-2.2762534501245075,-1.5049115115826146,30,1.0781422587763687e-22,1.3618639058227815e-21
parcel,7,auc,S-T,0.9428622330946703,0.29362750857169867,0.38108629838992875,1.506825001014698,30,0.0013223584175717138,0.0024256719579099106
parcel,7,auc,U-T,1.9079582645539286,0.2746305201171187,1.3598298467185819,2.4407549899042187,30,3.721738251587959e-12,1.5242613999677646e-11
parcel,7,auc,S-U,-0.9650960314592583,0.2671891054422141,-1.4827486191429746,-0.4020250531612802,30,0.0003038051680905296,0.0006158212866699924
parcel,70,auc,S-T,-4.318069656019046,0.42768955609187986,-5.20067775793613,-3.4900474097637457,30,5.73828467540082e-24,9.305326500649978e-23
parcel,70,auc,U-T,-0.37941441410888144,0.4119869390127516,-1.1592434154547737,0.43653855132344666,30,0.3570828147874958,0.43003010397803254
parcel,70,auc,S-U,-3.938655241910164,0.36403195654052495,-4.656627880907783,-3.2078008131255524,30,2.781956151529299e-27,8.345868454587897e-26
parcel,71,auc,S-T,-4.780953178265072,0.46041995730560564,-5.7376959740113405,-3.9142967921446723,30,2.935442367399623e-25,5.970391255728046e-24
parcel,71,auc,U-T,-0.4054273813269196,0.4647786521336727,-1.288017052291955,0.5005934886953141,30,0.3830436075310779,0.4579067501885231
parcel,71,auc,S-U,-4.3755257969381525,0.39348910635859513,-5.139104573936759,-3.6067717141964835,30,1.0048090227349409e-28,3.768033835256028e-27
parcel,72,auc,S-T,-2.074409110089358,0.4672839053853683,-3.036972202667934,-1.2079787228466194,30,9.025582614112203e-06,2.0989727009563263e-05
parcel,72,auc,U-T,0.9822544770469802,0.4533425694920137,0.05851791307663221,1.8267900442096217,30,0.03025821935126882,0.045730306324335744
